,Rating,Size,Price
856,4.0,4.5,0.0
858,4.3,11.0,0.0
860,3.5,4.6,0.0
863,4.6,3.3,0.0
864,4.2,6.5,0.0
868,3.8,12.0,0.0
870,4.3,5.6,0.0
871,4.4,9.7,0.0
872,4.4,15.0,0.0
874,3.7,52.0,0.0
877,4.4,4.5,0.0
879,4.2,49.0,0.0
880,4.2,18.0,0.0
881,4.5,13.0,0.0
882,4.7,4.0,0.0
883,4.5,16.0,0.0
884,4.5,17.0,0.0
886,4.2,24.0,0.0
888,4.2,12.0,0.0
890,4.1,78.0,0.0
892,4.2,25.0,0.0
893,4.3,57.0,0.0
895,3.9,9.1,0.0
896,4.1,39.0,0.0
900,3.6,8.5,0.0
901,4.3,12.0,0.0
902,4.3,72.0,0.0
906,4.1,16.0,0.0
907,4.2,9.6,0.0
909,4.2,22.0,0.0
911,4.5,13.0,0.0
913,3.8,12.0,0.0
915,3.0,23.0,0.0
916,4.1,20.0,0.0
917,4.2,25.0,0.0
918,4.1,17.0,0.0
920,4.0,19.0,0.0
921,4.4,21.0,0.0
922,4.2,19.0,0.0
927,4.0,19.0,0.0
928,4.3,4.4,0.0
929,3.9,19.0,0.0
941,4.5,13.0,0.0
942,4.1,17.0,0.0
945,4.5,20.0,0.0
948,3.6,21.0,0.0
949,3.8,15.0,0.0
952,3.7,7.2,0.0
953,3.8,32.0,0.0
956,3.7,44.0,0.0
957,3.9,19.0,0.0
973,4.1,30.0,0.0
976,3.9,57.0,0.0
986,4.2,35.0,0.0
987,4.3,44.0,0.0
990,4.3,20.0,0.0
991,4.6,19.0,0.0
994,4.5,43.0,0.0
997,4.2,3.6,0.0
998,4.4,7.7,0.0
999,4.2,44.0,0.0
1000,4.3,12.0,0.0
1001,4.6,53.0,2.99
1002,4.3,77.0,0.0
1004,4.0,9.5,0.0
1005,4.0,36.0,0.0
1006,4.5,6.3,0.0
1007,4.5,5.9,0.0
1009,4.0,12.0,0.0
1010,4.2,2.8,0.0
1011,4.4,26.0,0.0
1012,4.6,8.7,0.0
1014,4.6,53.0,0.0
1016,4.6,14.0,0.0
1017,4.4,8.9,0.0
1018,4.6,11.0,0.0
1019,4.9,0.334,0.0
1020,4.5,24.0,0.0
1021,4.6,13.0,0.0
1023,4.3,2.8,0.0
1027,4.3,3.5,0.0
1028,5.0,61.0,0.0
1029,4.4,6.0,0.0
1030,5.0,2.3,0.0
1031,4.5,9.0,0.0
1036,4.8,29.0,0.0
1037,4.4,4.4,0.0
1038,5.0,21.0,0.0
1040,3.7,27.0,0.0
1042,4.1,24.0,0.0
1044,4.8,6.3,0.0
1047,4.6,3.8,0.0
1050,3.6,42.0,0.0
1052,3.8,19.0,0.0
1053,4.2,70.0,0.0
1054,4.2,32.0,0.0
1055,4.2,93.0,0.0
1059,4.2,40.0,0.0
1060,4.7,24.0,0.0
1062,4.7,20.0,0.0
1063,4.0,15.0,0.0
1064,3.6,28.0,0.0
1065,4.0,10.0,0.0
1069,4.2,14.0,0.0
1071,4.0,42.0,0.0
1072,4.1,65.0,0.0
1073,4.4,37.0,0.0
1075,4.5,39.0,0.0
1076,4.3,47.0,0.0
1077,4.6,79.0,0.0
1078,4.3,18.0,0.0
1080,4.5,100.0,0.0
1081,4.5,32.0,0.0
1082,3.6,46.0,0.0
1084,4.1,9.8,0.0
1085,3.5,8.2,0.0
1086,4.4,18.0,0.0
1088,4.5,39.0,0.0
1089,4.2,44.0,0.0
1091,4.2,5.0,0.0
1092,4.8,21.0,0.0
1093,4.5,22.0,0.0
1094,4.2,23.0,0.0
1098,4.4,27.0,0.0
1101,4.6,32.0,0.0
1102,4.6,7.4,0.0
1103,4.4,24.0,0.0
1104,4.3,22.0,0.0
1106,4.2,10.0,0.0
1107,3.8,17.0,0.0
1108,4.5,38.0,0.0
1109,4.6,46.0,0.0
1110,4.6,3.8,0.0
1111,4.7,9.3,0.0
1112,4.6,8.4,0.0
1113,4.6,28.0,0.0
1115,3.8,9.7,0.0
1116,4.3,11.0,0.0
1118,4.5,7.4,0.0
1119,4.6,19.0,0.0
1120,4.6,16.0,0.0
1121,4.7,14.0,0.0
1122,4.5,22.0,0.0
1123,4.4,25.0,0.0
1124,3.9,3.6,0.0
1127,4.1,4.5,0.0
1129,4.4,23.0,0.0
1133,4.4,4.2,0.0
1135,3.9,58.0,0.0
1137,4.5,22.0,0.0
1139,4.1,1.4,0.0
1141,4.6,9.1,0.0
1147,4.3,21.0,0.0
1150,4.4,11.0,0.0
1151,4.1,38.0,0.0
1152,4.4,12.0,0.0
1153,4.2,45.0,0.0
1154,4.3,50.0,0.0
1157,4.3,23.0,0.0
1158,3.9,46.0,0.0
1159,4.1,45.0,0.0
1160,4.1,50.0,0.0
1161,4.2,24.0,0.0
1162,4.5,33.0,0.0
1164,4.7,12.0,0.0
1165,4.4,53.0,0.0
1166,4.6,14.0,0.0
1167,4.6,68.0,0.0
1170,4.3,32.0,0.0
1171,4.0,46.0,0.0
1172,4.4,40.0,0.0
1173,4.6,32.0,0.0
1175,4.1,24.0,0.0
1176,3.6,42.0,0.0
1178,4.1,13.0,0.0
1179,4.6,13.0,0.0
1181,4.7,8.9,0.0
1183,4.7,19.0,0.0
1185,4.1,14.0,0.0
1186,3.4,64.0,0.0
1187,3.8,8.4,0.0
1188,3.7,11.0,0.0
1189,4.2,66.0,0.0
1191,3.5,41.0,0.0
1192,4.7,15.0,0.0
1193,4.5,35.0,0.0
1194,4.2,36.0,0.0
1195,4.3,17.0,0.0
1196,4.0,25.0,0.0
1197,4.5,35.0,0.0
1198,4.6,10.0,0.0
1200,4.1,12.0,0.0
1202,3.8,11.0,0.0
1205,4.2,17.0,0.0
1206,4.3,43.0,0.0
1207,3.8,41.0,0.0
1209,3.7,43.0,0.0
1210,4.5,16.0,0.0
1211,3.6,39.0,0.0
1212,4.8,13.0,0.0
1213,3.3,30.0,0.0
1214,4.7,7.1,0.0
1215,4.6,23.0,0.0
1216,4.6,17.0,0.0
1217,3.4,18.0,0.0
1219,4.0,17.0,0.0
1221,4.5,15.0,0.0
1222,4.4,22.0,0.0
1224,4.0,9.0,0.0
1225,4.1,7.2,0.0
1228,4.1,2.3,4.99
1229,4.5,27.0,0.0
1231,4.5,8.2,0.0
1232,4.3,76.0,0.0
1233,3.6,22.0,0.0
1235,4.6,19.0,0.0
1238,3.9,28.0,0.0
1245,4.6,25.0,0.0
1246,4.4,30.0,0.0
1247,4.2,8.5,0.0
1250,4.2,34.0,0.0
1251,4.5,34.0,0.0
1253,4.3,17.0,0.0
1254,4.0,16.0,0.0
1256,4.8,15.0,0.0
1257,4.0,2.2,0.0
1258,4.9,11.0,0.0
1259,4.8,6.9,0.0
1260,4.9,13.0,0.0
1261,4.8,11.0,0.0
1262,4.4,2.9,0.0
1263,3.3,25.0,0.0
1264,4.7,7.0,0.0
1265,4.6,27.0,0.0
1266,4.8,7.5,0.0
1268,4.8,15.0,0.0
1269,4.5,9.4,0.0
1270,4.4,6.4,0.0
1271,4.5,5.5,0.0
1272,4.5,3.9,0.0
1273,4.5,55.0,0.0
1274,4.8,28.0,0.0
1276,4.6,8.8,0.0
1278,4.5,4.0,0.0
1279,4.7,6.9,0.0
1280,4.7,11.0,0.0
1282,4.2,5.5,0.0
1284,4.2,15.0,0.0
1285,4.4,4.3,0.0
1287,4.6,7.1,0.0
1288,4.2,58.0,0.0
1291,4.5,18.0,0.0
1293,3.7,1.5,0.0
1294,4.5,6.5,0.0
1295,4.6,11.0,0.0
1296,4.6,67.0,0.0
1298,4.5,57.0,0.0
1299,4.5,59.0,0.0
1300,4.6,48.0,0.0
1301,4.0,57.0,0.0
1302,4.3,13.0,0.0
1306,4.6,31.0,0.0
1307,4.9,10.0,0.0
1310,4.6,21.0,0.0
1311,4.5,25.0,0.0
1312,4.6,93.0,0.0
1313,4.6,60.0,0.0
1314,4.5,27.0,0.0
1315,4.5,54.0,0.0
1320,4.6,78.0,0.0
1321,4.4,55.0,0.0
1326,4.4,35.0,0.0
1328,4.4,43.0,0.0
1329,4.2,39.0,0.0
1330,4.5,4.2,0.0
1331,4.5,44.0,0.0
1332,4.4,45.0,0.0
1334,4.6,28.0,0.0
1335,4.6,29.0,3.99
1336,4.9,12.0,0.0
1337,4.4,15.0,0.0
1338,4.3,31.0,0.0
1343,4.7,20.0,0.0
1344,4.6,39.0,0.0
1345,4.3,94.0,0.0
1349,4.3,41.0,0.0
1350,4.6,49.0,0.0
1351,4.6,22.0,0.0
1353,4.6,23.0,0.0
1354,4.6,28.0,0.0
1355,4.5,7.2,0.0
1356,4.1,6.5,0.0
1358,4.6,24.0,0.0
1361,4.8,20.0,0.0
1363,4.5,15.0,0.0
1365,4.4,55.0,0.0
1367,4.5,38.0,0.0
1368,4.3,32.0,0.0
1371,4.6,40.0,0.0
1376,4.4,23.0,0.0
1377,4.7,6.1,0.0
1392,4.5,19.0,0.0
1393,4.0,3.8,0.0
1394,4.6,18.0,0.0
1395,4.1,57.0,0.0
1396,4.0,5.5,0.0
1398,4.4,5.7,0.0
1399,4.1,51.0,0.0
1400,3.5,9.4,0.0
1401,4.3,3.3,0.0
1403,4.2,4.0,0.0
1408,4.5,4.3,0.0
1412,4.1,3.6,0.0
1423,4.5,9.9,0.0
1425,3.7,37.0,0.0
1428,4.6,40.0,0.0
1429,4.7,73.0,0.0
1432,4.0,23.0,0.0
1433,4.4,10.0,0.0
1435,4.8,8.4,0.0
1440,4.4,41.0,0.0
1446,4.5,34.0,0.0
1447,4.8,7.5,0.0
1449,4.5,12.0,0.0
1450,4.1,7.7,0.0
1451,4.1,21.0,0.0
1452,4.0,18.0,0.0
1453,4.3,40.0,0.0
1457,3.7,8.6,0.0
1459,4.2,18.0,0.0
1460,4.5,7.5,0.0
1461,4.3,9.1,0.0
1462,3.9,13.0,0.0
1464,4.3,15.0,0.0
1466,4.6,19.0,0.0
1470,4.4,26.0,0.0
1471,4.7,8.3,0.0
1472,3.4,27.0,0.0
1473,4.3,7.9,0.0
1475,4.0,27.0,0.0
1476,4.0,5.1,0.0
1477,3.8,15.0,0.0
1479,4.3,16.0,0.0
1480,3.6,9.2,0.0
1483,4.6,10.0,0.0
1485,4.5,13.0,0.0
1486,4.7,1.9,0.0
1487,4.3,7.0,0.0
1488,3.7,15.0,0.0
1490,4.2,7.8,0.0
1491,3.4,77.0,0.0
1492,3.9,5.7,0.0
1493,4.0,5.9,0.0
1494,4.0,7.6,0.0
1495,4.0,5.8,0.0
1497,4.0,5.8,0.0
1498,4.1,5.3,0.0
1499,3.9,5.5,0.0
1500,4.4,25.0,0.0
1501,4.4,35.0,0.0
1508,4.3,30.0,0.0
1513,4.1,16.0,0.0
1515,4.4,15.0,0.0
1516,4.6,21.0,0.0
1518,4.1,4.3,0.0
1521,3.8,0.232,0.0
1522,4.6,99.0,0.0
1523,3.5,0.624,0.0
1524,4.7,6.9,0.0
1525,4.3,7.0,0.0
1526,4.5,7.0,0.0
1527,4.4,6.4,0.0
1529,4.3,16.0,0.0
1531,4.3,95.0,0.0
1532,4.6,0.0085,0.0
1533,4.6,20.0,0.0
1535,4.2,50.0,0.0
1538,4.6,12.0,0.0
1541,4.4,22.0,0.0
1542,3.9,0.041,0.0
1543,4.5,22.0,0.0
1544,3.8,0.292,0.0
1545,4.3,5.5,0.0
1547,5.0,2.5,0.0
1548,3.2,8.1,0.0
1549,4.5,28.0,0.0
1550,4.7,24.0,0.0
1551,4.0,3.1,0.0
1553,4.1,0.011,0.0
1554,3.8,13.0,0.0
1555,4.7,19.0,0.0
1556,4.5,9.5,0.0
1558,4.2,9.4,0.0
1560,4.1,36.0,0.0
1561,3.1,55.0,0.0
1562,4.1,32.0,0.0
1563,4.1,34.0,0.0
1564,4.3,5.1,0.0
1565,4.0,100.0,0.0
1566,4.6,80.0,0.0
1567,4.4,3.3,0.0
1568,4.4,28.0,0.0
1569,4.3,5.0,0.0
1570,4.6,11.0,0.0
1571,3.2,55.0,0.0
1572,4.5,7.1,0.0
1573,4.6,3.2,0.0
1574,4.6,4.4,0.0
1575,4.3,16.0,0.0
1576,3.0,6.3,0.0
1577,4.4,45.0,0.0
1578,4.4,23.0,0.0
1579,4.3,37.0,0.0
1580,3.5,13.0,0.0
1581,4.3,8.1,0.0
1582,4.5,13.0,0.0
1583,3.7,14.0,0.0
1584,4.5,30.0,0.0
1585,4.2,36.0,0.0
1586,4.3,3.0,0.0
1587,4.6,1.4,0.0
1588,4.5,39.0,0.0
1589,3.9,1.8,0.0
1590,4.3,1.7,0.0
1591,3.3,19.0,0.0
1592,4.7,15.0,0.0
1593,4.2,10.0,0.0
1594,3.2,2.7,0.0
1595,4.4,16.0,0.0
1596,3.5,21.0,0.0
1597,3.7,20.0,0.0
1598,3.8,14.0,0.0
1599,3.8,76.0,0.0
1600,3.7,18.0,0.0
1601,4.6,12.0,0.0
1602,4.0,6.2,0.0
1604,3.8,6.8,0.0
1606,4.7,24.0,0.0
1607,3.9,19.0,0.0
1608,4.1,13.0,0.0
1609,4.6,15.0,0.0
1610,4.2,13.0,0.0
1613,4.2,44.0,0.0
1615,4.6,9.7,0.0
1617,4.1,13.0,0.0
1618,3.9,4.5,0.0
1619,4.0,4.5,0.0
1620,4.1,29.0,0.0
1622,4.1,12.0,0.0
1624,4.1,4.6,0.0
1625,4.4,10.0,0.0
1627,4.3,33.0,0.0
1634,4.4,13.0,0.0
1635,4.2,15.0,0.0
1636,4.4,23.0,0.0
1637,4.3,7.7,0.0
1639,4.0,15.0,0.0
1640,4.2,25.0,0.0
1642,3.9,3.0,0.0
1643,4.4,22.0,0.0
1646,4.5,7.5,0.0
1647,4.8,24.0,0.0
1649,4.5,44.0,0.0
1652,4.5,14.0,0.0
1653,4.5,67.0,0.0
1654,4.5,76.0,0.0
1655,4.4,74.0,0.0
1656,4.7,23.0,0.0
1657,4.5,46.0,0.0
1658,4.2,24.0,0.0
1660,4.6,97.0,0.0
1661,4.3,62.0,0.0
